county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Autauga,33,7.1999998,34.700001,69.099998,8.6999998,5.1999998,4
Baldwin,30,8,26.5,73.699997,11.3,4.4000001,4
Barbour,41.200001,5.5999999,23.5,53.200001,12.2,5.6999998,4
Bibb,37.400002,7.8000002,33.5,16.299999,10.2,4.4000001,4
Blount,33,8.3999996,30.299999,15.6,13.4,4.4000001,4
Bullock,46.599998,4.3000002,24.6,2.5,11.4,7.4000001,4
Butler,46.799999,6.5999999,39.5,48.599998,11.2,5.4000001,4
Calhoun,39.700001,6.9000001,31.700001,47.700001,11.9,5,4
Chambers,42.299999,6.4000001,30.1,61.900002,11.9,4.6999998,4
Cherokee,38.400002,8.3000002,31.299999,33.400002,11.2,4.6999998,4
Chilton,41.900002,8.1000004,33.200001,46.299999,13.8,5.0999999,4
Choctaw,47.200001,6.4000001,36.200001,28.9,11.3,5.9000001,4
Clarke,36.099998,5.4000001,34.599998,25.299999,11.9,8.5,4
Clay,37.299999,7.8000002,32.599998,63.799999,13.9,5.0999999,4
Cleburne,34,8,31.299999,41.5,13.3,4.8000002,4
Coffee,36.700001,7.5,30.799999,53.700001,12,4.6999998,4
Colbert,37,7.4000001,36.599998,55.700001,9.6999998,4.8000002,4
Conecuh,42.099998,5.5999999,40.700001,37,12,4.5,4
Coosa,44.799999,6.9000001,35.299999,6.4000001,13,4.4000001,4
Covington,35.799999,7.5999999,35.5,50.200001,12.1,4.9000001,4
Crenshaw,35.299999,6.1999998,33.5,22.4,12.3,5.5,4
Cullman,35.700001,8.1999998,36.700001,41.700001,12.7,4.4000001,4
Dale,41.799999,6.6999998,32,46.400002,9.6999998,5.0999999,4
Dallas,42.200001,4.5999999,26.9,59.599998,10.4,6.0999999,4
DeKalb,30.299999,8.1999998,31.700001,45,17.299999,4.8000002,4
Elmore,34.799999,7.5999999,26.4,51.700001,8.6999998,4.4000001,4
Escambia,36.5,6.5999999,32.400002,48.099998,14.4,5.5,4
Etowah,36.200001,7.0999999,34.099998,49.5,12.5,4.6999998,4
Fayette,37.599998,7.9000001,33.700001,34.200001,11.5,4.9000001,4
Franklin,36.599998,7.9000001,38.099998,58.099998,15.3,4.4000001,4
