state,obe_21,pi_20,aeo_20,uni_20
Alabama,35.5,29.799999,61.099998,11
Alaska,32.5,20,100,14.8
Arizona,27.5,21.799999,85.099998,12.1
Arkansas,34.200001,31.6,63.5,9.3000002
California,23.6,17.6,93.099998,8.1999998
Colorado,21.799999,15.5,90.5,8.6999998
Connecticut,25.799999,20.4,94,6.3000002
Delaware,30.9,27.700001,86.5,6.0999999
District of Columbia,23.5,18.4,100,4.3000002
Florida,26.6,25.9,88.699997,16
Georgia,32,27.5,75.5,15.5
Hawaii,23.700001,20.5,92.5,4.5999999
Idaho,29.299999,20.799999,78.900002,11.8
Illinois,29.700001,22.299999,90.800003,7.9000001
Indiana,33.400002,26.700001,75.199997,9.6000004
Iowa,33.200001,23.700001,82.900002,5.5
Kansas,33.200001,24.799999,80.099998,10.1
Kentucky,33.799999,28.6,71.099998,6.4000001
Louisiana,35.400002,29.200001,75,9.6000004
Maine,29.9,21.6,70,10.2
Maryland,31,22.4,92.599998,7
Massachusetts,24.700001,21.299999,94.5,3.3
Michigan,32,23.4,85.5,6.0999999
Minnesota,27.9,20.1,86.900002,5.0999999
Mississippi,36.799999,31.9,54.5,14.5
Missouri,32.200001,25.799999,76.699997,10.9
Montana,25.799999,21.6,75.199997,10.4
Nebraska,32.200001,23.299999,83.5,9.6000004
Nevada,25.700001,23.1,93,13.1
New Hampshire,27.9,21.299999,88.199997,7
New Jersey,26.4,26,94.699997,9
New Mexico,26.6,19.700001,76.900002,11
New York,25.5,24.700001,93.199997,6.5999999
North Carolina,31.4,24.299999,73.5,12.6
North Dakota,32.700001,23.9,74,8.6000004
Ohio,32.299999,26.4,83.900002,7.0999999
Oklahoma,33.700001,29.299999,71.300003,16.5
Oregon,28.799999,17.200001,87.900002,8.1999998
Pennsylvania,30.299999,23.1,84.400002,6.5999999
Rhode Island,28.1,24.4,94.900002,5.4000001
South Carolina,32.900002,25.9,68.300003,13.1
South Dakota,31.799999,21.299999,73.5,10.8
Tennessee,33.200001,27.200001,70.199997,11.3
Texas,30.1,24.4,80.5,19.4
Utah,25.9,18.1,85.699997,10
Vermont,26.299999,19.1,75.800003,5.5
Virginia,29.799999,22.9,82.400002,10.2
Washington,27.799999,17,86.199997,7.0999999
West Virginia,36.700001,28.9,59.400002,7.5
Wisconsin,31.299999,20.799999,85.199997,6.4000001
Wyoming,28.9,24.1,76.5,14.2
