county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Autauga,0,7.1999998,34.700001,69.099998,8.6999998,5.1999998,4
Baldwin,0,8,26.5,73.699997,11.3,4.4000001,4
Barbour,1,5.5999999,23.5,53.200001,12.2,5.6999998,4
Bibb,1,7.8000002,33.5,16.299999,10.2,4.4000001,4
Blount,0,8.3999996,30.299999,15.6,13.4,4.4000001,4
Bullock,1,4.3000002,24.6,2.5,11.4,7.4000001,4
Butler,1,6.5999999,39.5,48.599998,11.2,5.4000001,4
Calhoun,1,6.9000001,31.700001,47.700001,11.9,5,4
Chambers,1,6.4000001,30.1,61.900002,11.9,4.6999998,4
Cherokee,1,8.3000002,31.299999,33.400002,11.2,4.6999998,4
Chilton,1,8.1000004,33.200001,46.299999,13.8,5.0999999,4
Choctaw,1,6.4000001,36.200001,28.9,11.3,5.9000001,4
Clarke,1,5.4000001,34.599998,25.299999,11.9,8.5,4
Clay,1,7.8000002,32.599998,63.799999,13.9,5.0999999,4
Cleburne,1,8,31.299999,41.5,13.3,4.8000002,4
Coffee,1,7.5,30.799999,53.700001,12,4.6999998,4
Colbert,1,7.4000001,36.599998,55.700001,9.6999998,4.8000002,4
Conecuh,1,5.5999999,40.700001,37,12,4.5,4
Coosa,1,6.9000001,35.299999,6.4000001,13,4.4000001,4
Covington,1,7.5999999,35.5,50.200001,12.1,4.9000001,4
Crenshaw,1,6.1999998,33.5,22.4,12.3,5.5,4
Cullman,1,8.1999998,36.700001,41.700001,12.7,4.4000001,4
Dale,1,6.6999998,32,46.400002,9.6999998,5.0999999,4
Dallas,1,4.5999999,26.9,59.599998,10.4,6.0999999,4
DeKalb,0,8.1999998,31.700001,45,17.299999,4.8000002,4
Elmore,1,7.5999999,26.4,51.700001,8.6999998,4.4000001,4
Escambia,1,6.5999999,32.400002,48.099998,14.4,5.5,4
Etowah,1,7.0999999,34.099998,49.5,12.5,4.6999998,4
Fayette,1,7.9000001,33.700001,34.200001,11.5,4.9000001,4
Franklin,1,7.9000001,38.099998,58.099998,15.3,4.4000001,4
Geneva,1,7.8000002,36.799999,20.200001,14.1,5,4
Greene,1,3.2,18.299999,6.1999998,11.4,5.9000001,4
Hale,1,6.0999999,27.799999,29.9,10.6,6.4000001,4
Henry,1,7.9000001,35.400002,25.299999,12.2,4.9000001,4
Houston,1,7.0999999,30.6,66.5,11.1,5.0999999,4
Jackson,1,7.9000001,29.1,47.200001,13.1,5,4
Jefferson,1,6.3000002,30.1,78.599998,10,5.3000002,4
Lamar,1,7.8000002,36.5,10.3,11.5,5,4
Lauderdale,0,7.5999999,28.5,65.5,11.3,4.5,4
Lawrence,0,8,36.400002,49,14,4.9000001,4
Lee,0,6.4000001,21.299999,67.699997,10.4,6.3000002,4
Limestone,0,8.1000004,29.299999,61,11,5.0999999,4
Lowndes,1,4.5999999,33.700001,4.9000001,10.8,6.5,4
Macon,1,4,32.299999,31.299999,10.6,6.8000002,4
